"Prodcuts_name","Prodcuts_url","Prodcuts_price","Prodcuts_sku","Prodcuts_imageUrl","Prodcuts_details"
"Larix Side Table in Blue Colour","https://www.hometown.in/products/larix-side-table-in-blue-colour","Rs. 999","SKU: 830096764","https://www.hometown.in/cdn/shop/files/1_7d5bfbe5-a559-4540-a844-164d607533cf.jpg?v=1715080227&width=1946","Details
Simple, sturdy and versatile, enjoy the pleasures of DIY in the Larix side table constructed out of veneered engineered wood. Style it alongside your fabric sofa, entryway table, bed, etc. Place a statement decor piece or use it for utility, this side table is yours to visualize.
Material
Made from environment friendly European Standard Engineered wood - honeycomb structure.
Construction
Detachable legs for easy storage of product when not in use.
Lamination on all open surfaces
Finish
Plain blue colour finish
Size - Storage
Ideal to be used as side stool or coffee table in living room, office space, entryway, etc..
Light weight, easy to carry and can be used as decor item, gifting, etc..
Colour Option - Variants - Same Build
Blue
Other highlights - Uses - Unique
DIY and easy to assemble, Recommended loadability is 20kgs.
Height: 400
Width: 400
Depth: 400
Color: Blue
Material Details: Engineered Wood
Warranty Period: 12 Months"
"Jacob Engineered Wood Multipurpose Cabinet in Cherry Brown Colour","https://www.hometown.in/products/jacob-engineered-wood-multipurpose-cabinet-in-cherry-brown-colour","Rs. 5,999","SKU: 830051540001","https://www.hometown.in/cdn/shop/files/1_957ca1e5-6096-4a1f-817e-76075490f159.jpg?v=1717145175&width=1946","Details
The Jacob four tier cabinet with a modern silhouette and additional contemporary corner accents, the cabinet is an adaptable storage solution for your living spaces. The natural wood grain finished, cherry brown cabinet offers ample multipurpose storage for your daily knick knacks, crockeries, host friendly serveware, magazines, kids storage, etc.
Material
Made from environment friendly European Standard Engineered wood with PU coating.
Construction
Jacob 4 tier rack is designed in contemporary style with elementary looks for multi usage.
Doors are placed on pivot hinges to give maximum utilisation and access of space.
Magnetic lock keeps good hold when doors are closed.
Finish
Cherry brown coloured wood grain finish for natural and elegant look.
Size - Storage
Vertical Partitions in storage, provide separate compartments and double up as load bearing members.
Recommended maximum loadability 4 kg
Colour Option - Variants - Same Build
Available in 2 col Cherry Brown & Oak.
Other highlights - Uses - Unique
Can be used as crockery unit, bed and bath storage, magazines, books, daily wears, kids storage etc.
This product is termite and borer proof.
Edge banding on all sides and lamination on all open exposed surfaces to protect from moisture."
"Woodrow Sheesham Wood(Rosewood) Dining Chair Set of 2 in Honey Colour","https://www.hometown.in/products/woodrow-sheesham-wood-rosewood-dining-chair-set-of-2-in-honey-colour","Rs. 18,200","SKU: 6000089102001","https://www.hometown.in/cdn/shop/files/1_e98fde29-8417-4f68-858c-3a06e969feeb.jpg?v=1717147096&width=1946","Details
Dine well with no urgency to head out. Woodrow's solidwood dining chair set of 2 makes it so pleasurable to dine and make memories with loved ones. The durability makes it withstand anything that may come its way.
Material
Chair is made in thick sheesham wood with fabric upholstered cushioned seat.
Construction
Chair is made with Box seat construction with thick plywood base which gives strength and durability. Has horizontal 7 Strip Design on backrest.
Size & Components
Legs are attached with Nylon buffers at the bottom. This keeps legs slightly raised above the ground, hence protecting from water & scratches.
Finish
Frame construction in seasoned & chemically treated Sheesham wood in a characteristic Honey finish. The advantages of Sheesham wood include its durability, versatility, and attractive finish. As Sheesham wood is heavy and dense, and it has good pest and decay resistance. This product is termite resistant & boarer Proof.
Colour -Size Option
Available in 8 seater & 6 seater."
"Prime Four Door Wardrobe in White Colour","https://www.hometown.in/products/prime-four-door-wardrobe-in-white-colour","Rs. 23,999","SKU: 6000089618001","https://www.hometown.in/cdn/shop/files/1_00d0245f-a2d6-4e0c-925c-64aed2f91137.jpg?v=1715108873&width=1946","Details
The environment friendly, engineered wood, Prime four door wardrobe with ergonomic functional fittings and user-centric design is an all white modern pick. It's elegant with matte white finish, clean structural lines and sturdy form.
Material
The material is particle board with melamine finish
This Product is made with environment friendly European standard E2 grade Particle board suitable for indoor furniture usage.
Panels are laminated with scratch resistant melamine finish & edge banded on all exposed surfaces to protect from moisture.
This product is termite resistant & borer proof.
Finish
The matt white finish gives a modern look.
Construction
The wardrobe has hinged doors
Storage
The oval shape allows the hangers to twist on the pole easily . Oval poles are also stronger due to their weight bearing capacity
The hanger pole is installed at an ergonomic height for easy accessibility of hangers
The drawer is mounted on telescopic channels. These channels provide full accessibility to the storage space.
All doors are fitted with locks that come with metal keys."
"Alder Engineered Wood 1+2 tier Shoe Rack in Oak Colour","https://www.hometown.in/products/alder-engineered-wood-1-2-tier-shoe-rack-in-oak-colour","Rs. 5,999","SKU: 830094491001","https://www.hometown.in/cdn/shop/files/1_cd47a533-47b8-44bf-b034-a22a5d438987.jpg?v=1715107233&width=1946","Details
Adaptable to your needs with adjustable shelves, the Alder 1+2 tier shoe rack visually adds a modern and modular touch to your space. The oak shoe rack offers natural wood grain finish with drop down shutters. It can accommodate up to 12-14 pairs of footwear, offering maximum utility benefits and the top of the shoe rack can be used as a sitting area and the higher levelled top can used to display your prized possessions.
Material
Made from environment friendly European Standard Engineered wood with PU coating.
Construction
Edge banding on all sides and lamination on all open exposed surfaces to protect from moisture.
Adjustable internal shelves for different sizes of footwear
Finish
Oak wood grain finish for natural and elegant look.
Size - Storage
Can accommodate 12 to 14 pairs of footwear.
Colour Option - Variants - Same Build
Oak
Other highlights - Uses - Unique
Drop down shutter makes it easy to access
A perfect space saver design which can fit into any small area
Free standing shoe rack. Can easily fit behind the door, entryway etc..
This product is termite and borer proof."
"Magnific Velvet Three + Two Seater Sofa in Teal Colour","https://www.hometown.in/products/magnific-velvet-three-two-seater-sofa-in-teal-colour","Rs. 39,900","SKU: 6000102051","https://www.hometown.in/cdn/shop/files/Blackpool_T_Green.jpg?v=1732019740&width=1946","Details
The Magnific Velvet sofa with clean and straight lined silhouette exudes the form and texture of a quintessential modern sofa. The plush high cushions and half rounded arms promises a comfortable seating experience within a compact living space. The grey sofa offers a super cosy spot high in style unit. Place this versatile sofa in any nook and corner of your home.
Finish
This sofa is upholstered with high tensile strength & breathable Velvet Fabric which offers high durability.
Frame Construction
The sofa frame is made from kiln dried and chemically treated Solid wood making it Termite resistant & borerproof.
Seating Comfort
The seat construction provides ultimate comfort & support for longer sitting duration. A Combination of No-Zag springs & Webbing with 32 Density high resilient foam is used in the construction of the seat. Topped with a layer of Super Soft foam for added sitting comfort
Resting Comfort
Waterfall seat cushion is ergonomically designed to give support to legs and is suitable to accommodate people of all body types.
Other Highlights
It's loose Back Cushions filled with polyester fibre to give greater support & comfort.
Rounded Wedge Armrests for plush seating
Colour and Size options
Available in 3 Seater & 2 Seater
Available colours in Sofa - D Grey, Teal, Rust, Wine, Sea Green
Weight: 68
Color: Teal
Material Details: Frame - Solidwood, Upholstery - Velvet Fabric
Warranty Period: 36 Months"
"Sanddune Solidwood Dining Chair Set Of 2 in Walnut Colour","https://www.hometown.in/products/sanddune-solidwood-dining-chair-set-of-2-in-walnut-colour","Rs. 19,900","SKU: 830117505","https://www.hometown.in/cdn/shop/files/1_e44984ec-ec59-41fd-a193-7a7cf75de88f.jpg?v=1715083306&width=1946","Details
Material
Upholstered in linen marcella fabric, it offers the perfect blend of style and comfortable seating.
Construction
The solid rubberwood legs ensure stability and durability.
Seatining Comfort
The 2-8"" inch Thick cushion foam with a density of 2.5 pounds per cubic foot ensures lasting comfort and support.
Size & Components
Tailored cushioning at the back adds extra layer of comfort and relaxation.
Finish
The walnut finish adds a touch of opulence and complements a variety of interior styles.
Colour -Size Option
Walnut
Height: 885
Width: 510
Weight: 13
Depth: 520
Color: Walnut
Material Details: Rubber Wood
Warranty Period: 24 Months"
"Understated Charm (Paddington 3 + 2 Seater Sofa Set Dark Brown + Antwerp Flute Centre Table)","https://www.hometown.in/products/understaded-charm-paddington-3-2-seater-sofa-set-dark-brown-antwerp-flute-centre-table","Rs. 44,900","SKU: 60000883140110","https://www.hometown.in/cdn/shop/files/HO340FU98MSBHTFUR_1.jpg?v=1723931733&width=1946","Details
Living Room Package: Modern Minimalism with Timeless Elegance
Experience the enduring allure of modern minimalism and timeless neutral tones with our curated Living Room Package. Revel in unparalleled comfort with the Perth 2+3 Seater Sofa, enhanced by the exquisite Ossein Center and Side Tables featuring intricate patterns and accents of luxurious golden metallic tones, imparting a rich and sophisticated aesthetic.
Perth 2+3 Seater Sofa:
Design: Statement in elegance with a curved silhouette that adds softness to your living spaces.
Finish: Upholstered with high-grade polyester fabric in beige, complemented by accent throw cushions for a touch of contrast and plush comfort.
Frame Construction: Made from kiln-dried and chemically treated solid wood, ensuring termite resistance and borer proofing.
Seating Comfort: Features No-Zag springs, webbing, and 32 density high resilient foam with a layer of super soft foam for added comfort. Soft curve cushions filled with polyester fiber offer greater support and comfort.
Resting Comfort: Plush box cushion design for sink-in comfort and relaxed seating.
Ossein Center and Side Tables:
Material: Tabletop crafted with beautiful resin inlay work, base made of high-grade mild steel with a gold powder coating.
Construction: Termite and borer proof, cylindrical-shaped center table and matching side table.
Color Options: Available in a combination of white with resin and gold metal finish.
Transform your living space with our Perth sofa and Ossein tables, creating an environment that combines modern minimalism with timeless elegance. Enjoy the rich textures, sophisticated aesthetics, and unparalleled comfort that define this curated collection."
"Understated Charm (Paddington 3 + 2 Seater Sofa Set Grey + Antwerp Flute Centre Table)","https://www.hometown.in/products/understaded-charm-paddington-3-2-seater-sofa-set-grey-antwerp-flute-centre-table","Rs. 44,900","SKU: 60000883140109","https://www.hometown.in/cdn/shop/files/4.1.Paddington.jpg?v=1725276232&width=1946","Details
Living Room Package: Modern Minimalism with Timeless Elegance
Experience the enduring allure of modern minimalism and timeless neutral tones with our curated Living Room Package. Revel in unparalleled comfort with the Perth 2+3 Seater Sofa, enhanced by the exquisite Ossein Center and Side Tables featuring intricate patterns and accents of luxurious golden metallic tones, imparting a rich and sophisticated aesthetic.
Perth 2+3 Seater Sofa:
Design: Statement in elegance with a curved silhouette that adds softness to your living spaces.
Finish: Upholstered with high-grade polyester fabric in beige, complemented by accent throw cushions for a touch of contrast and plush comfort.
Frame Construction: Made from kiln-dried and chemically treated solid wood, ensuring termite resistance and borer proofing.
Seating Comfort: Features No-Zag springs, webbing, and 32 density high resilient foam with a layer of super soft foam for added comfort. Soft curve cushions filled with polyester fiber offer greater support and comfort.
Resting Comfort: Plush box cushion design for sink-in comfort and relaxed seating.
Ossein Center and Side Tables:
Material: Tabletop crafted with beautiful resin inlay work, base made of high-grade mild steel with a gold powder coating.
Construction: Termite and borer proof, cylindrical-shaped center table and matching side table.
Color Options: Available in a combination of white with resin and gold metal finish.
Transform your living space with our Perth sofa and Ossein tables, creating an environment that combines modern minimalism with timeless elegance. Enjoy the rich textures, sophisticated aesthetics, and unparalleled comfort that define this curated collection."
"Understated Charm (Paddington 3 + 2 Seater Sofa Set Beige + Antwerp Flute Centre Table)","https://www.hometown.in/products/understaded-charm-paddington-3-2-seater-sofa-set-beige-antwerp-flute-centre-table","Rs. 44,900","SKU: 60000883140108","https://www.hometown.in/cdn/shop/files/HO340FU04MRVHTFUR_1.jpg?v=1723928718&width=1946","Details
Living Room Package: Modern Minimalism with Timeless Elegance
Experience the enduring allure of modern minimalism and timeless neutral tones with our curated Living Room Package. Revel in unparalleled comfort with the Perth 2+3 Seater Sofa, enhanced by the exquisite Ossein Center and Side Tables featuring intricate patterns and accents of luxurious golden metallic tones, imparting a rich and sophisticated aesthetic.
Perth 2+3 Seater Sofa:
Design: Statement in elegance with a curved silhouette that adds softness to your living spaces.
Finish: Upholstered with high-grade polyester fabric in beige, complemented by accent throw cushions for a touch of contrast and plush comfort.
Frame Construction: Made from kiln-dried and chemically treated solid wood, ensuring termite resistance and borer proofing.
Seating Comfort: Features No-Zag springs, webbing, and 32 density high resilient foam with a layer of super soft foam for added comfort. Soft curve cushions filled with polyester fiber offer greater support and comfort.
Resting Comfort: Plush box cushion design for sink-in comfort and relaxed seating.
Ossein Center and Side Tables:
Material: Tabletop crafted with beautiful resin inlay work, base made of high-grade mild steel with a gold powder coating.
Construction: Termite and borer proof, cylindrical-shaped center table and matching side table.
Color Options: Available in a combination of white with resin and gold metal finish.
Transform your living space with our Perth sofa and Ossein tables, creating an environment that combines modern minimalism with timeless elegance. Enjoy the rich textures, sophisticated aesthetics, and unparalleled comfort that define this curated collection."
